0.031,0.4859,0.00086,0.03815,0.00033
0.081,0.48349,0.0006,0.03855,0.00023
0.281,0.48346,0.00057,0.03842,0.00022
0.582,0.48136,0.00056,0.03855,0.00022
1.08,0.48128,0.00057,0.03858,0.00022
1.58,0.48232,0.00057,0.03845,0.00022
2.081,0.47992,0.00058,0.03965,0.00023
2.582,0.47724,0.00058,0.04019,0.00023
3.08,0.47109,0.00059,0.042,0.00024
3.581,0.47382,0.00059,0.04174,0.00024
4.081,0.47241,0.00059,0.0422,0.00024
4.581,0.47162,0.00059,0.04192,0.00024
5.08,0.47049,0.0006,0.04206,0.00024
5.581,0.47146,0.0006,0.04279,0.00024
6.081,0.47027,0.00059,0.04265,0.00024
7.08,0.46973,0.00059,0.04305,0.00024
8.081,0.47115,0.0006,0.04205,0.00024
10.081,0.47352,0.00061,0.04149,0.00024
12.082,0.47038,0.0006,0.04198,0.00024
14.082,0.47198,0.0006,0.04065,0.00024
20.082,0.47435,0.0006,0.03895,0.00023
25.081,0.47388,0.00061,0.03864,0.00023
30.08,0.47538,0.00061,0.0385,0.00024
