0.032,0.46866,0.00114,0.04504,0.00047
0.081,0.4659,0.00056,0.04601,0.00023
0.281,0.46537,0.00054,0.04532,0.00022
0.582,0.46736,0.00053,0.04447,0.00022
1.08,0.47128,0.00054,0.0434,0.00022
1.58,0.47335,0.00054,0.04273,0.00022
2.081,0.4738,0.00072,0.04203,0.00029
2.582,0.47344,0.00055,0.0422,0.00022
3.08,0.47337,0.00056,0.04246,0.00023
3.581,0.47317,0.00056,0.04238,0.00022
4.081,0.47337,0.00055,0.04304,0.00022
4.581,0.47216,0.00056,0.04268,0.00023
5.08,0.47245,0.00056,0.04244,0.00023
5.581,0.47371,0.00056,0.04247,0.00023
6.081,0.47239,0.00056,0.04228,0.00022
7.08,0.47317,0.00056,0.04158,0.00022
8.081,0.47463,0.00056,0.0409,0.00022
10.081,0.47483,0.00057,0.0405,0.00022
12.082,0.47479,0.00057,0.04026,0.00022
14.082,0.47655,0.00059,0.03898,0.00023
20.082,0.47766,0.00056,0.03833,0.00022
25.081,0.4779,0.00057,0.03784,0.00022
30.08,0.47787,0.00057,0.03742,0.00022
