0.031,0.46802,0.00102,0.0444,0.00042
0.081,0.46832,0.00057,0.0454,0.00024
0.281,0.46423,0.00055,0.04544,0.00023
0.582,0.46432,0.00054,0.04567,0.00023
1.08,0.46678,0.00055,0.04464,0.00023
1.58,0.46842,0.00055,0.04387,0.00023
2.081,0.47109,0.00055,0.04226,0.00022
2.582,0.47335,0.00055,0.04193,0.00022
3.08,0.47439,0.00056,0.04121,0.00022
3.581,0.47543,0.00056,0.04088,0.00022
4.081,0.47774,0.00056,0.04002,0.00022
4.581,0.47887,0.00056,0.03994,0.00022
5.08,0.4781,0.00057,0.04001,0.00022
5.581,0.47957,0.00056,0.03976,0.00022
6.081,0.47969,0.00056,0.03961,0.00022
7.08,0.48174,0.00056,0.03961,0.00022
8.081,0.48195,0.00056,0.03922,0.00022
10.081,0.4834,0.00059,0.03857,0.00023
12.082,0.48266,0.00089,0.0383,0.00034
14.082,0.48233,0.00089,0.03838,0.00034
20.082,0.48012,0.00089,0.03741,0.00034
25.081,0.47804,0.00089,0.03703,0.00034
30.08,0.47598,0.00089,0.03812,0.00034
